changes = Time vs nsites vs nqubits0 vs h vs nlayers

g_converged min_loss iter nsites nqubits0 h nlayers time
true 4.634105047837678e-5 2117 9 2 0.28 3 44.06
true 6.465030447153075e-5 2608 9 2 0.28 4 72.14
true 5.9770271875758674e-5 270 9 2 0.3 1 2.57
true 1.6448194004731187e-5 1132 9 2 0.3 2 16.36
true 0.0001724315354286743 1267 9 2 0.3 3 28.8
true 0.00010985060335624852 1914 9 2 0.3 4 54.84
true 8.24977860987286e-5 231 9 2 0.32 1 2.29
true 7.850905704673283e-5 433 9 2 0.32 2 7.55
true 0.00011070357352857552 1461 9 2 0.32 3 32.25
true 2.1753311383931884e-5 1579 9 2 0.32 4 49.79
true 0.00011258350456083699 221 9 2 0.34 1 2.33
true 0.0001259502680932556 658 9 2 0.34 2 10.64
true 0.00013556153337526688 2989 9 2 0.34 3 63.79
true 0.00016330768974018306 1623 9 2 0.34 4 49.99
true 0.00015278676134186653 223 9 2 0.36 1 2.03
true 0.0001662087571386306 697 9 2 0.36 2 10.96
true 0.00019059019172740221 1507 9 2 0.36 3 35.09
true 0.00024123523208849362 1760 9 2 0.36 4 66.38
true 0.000221485254664755 203 9 2 0.38 1 1.91
true 0.00024831210810769 415 9 2 0.38 2 7.54
true 0.00022117821811110105 1560 9 2 0.38 3 34.92
true 0.00018828570842402415 1724 9 2 0.38 4 56.58
true 0.00037031876584947554 184 9 2 0.4 1 1.87
true 0.00031969167037143587 552 9 2 0.4 2 9.91
true 0.0004204351224218472 1002 9 2 0.4 3 27.89
true 0.0005516079314574207 2398 9 2 0.4 4 82.94
true 0.0008539776047906955 451 9 2 0.42 1 3.95
true 0.0009962616842043859 385 9 2 0.42 2 7.65
true 0.0004668529869988891 4555 9 2 0.42 3 98.54
true 0.0013792271685007518 2004 9 2 0.42 4 61.28
true 0.005979298606061223 475 9 2 0.44 1 4.42
true 0.004946012493084351 1748 9 2 0.44 2 27.26
true 0.001327699937309773 4467 9 2 0.44 3 95.62
true 0.001647732870094204 5425 9 2 0.44 4 154.47
true 0.025885200733249764 268 9 2 0.46 1 2.76
