changes = Time vs h

g_converged min_loss iter nsites nqubits0 h nlayers time
true 0.14286690034189348 248 8 7 0.16 1 1.65
true 0.14285809969409874 1117 8 7 0.16 2 11.92
true 3.008540585701975e-5 1705 8 7 0.16 3 23.7
true 0.14287314059738085 3363 8 7 0.16 4 61.6
true 2.32351972511226e-5 349 8 7 0.18 1 2.15
true 0.00040363366769557193 2130 8 7 0.18 2 21.23
true 0.14288599858682421 1401 8 7 0.18 3 20.79
true 5.737812099426698e-5 3273 8 7 0.18 4 59.24
true 3.541063903750308e-5 387 8 7 0.2 1 2.29
true 3.735851040027287e-5 2310 8 7 0.2 2 22.67
true 4.210030346775616e-5 3138 8 7 0.2 3 47.04
true 3.5262306832508005e-5 4933 8 7 0.2 4 89.75
true 5.2739576491108876e-5 532 8 7 0.22 1 3.49
true 5.503563104855954e-5 1091 8 7 0.22 2 10.5
true 0.14291422294355124 1851 8 7 0.22 3 28.02
true 7.107165677086977e-5 2529 8 7 0.22 4 50.77
true 0.14292678404955445 370 8 7 0.24 1 2.65
true 7.814225074526115e-5 653 8 7 0.24 2 7.5
true 0.14292292014219227 1712 8 7 0.24 3 27.0
true 0.07148041027579435 3407 8 7 0.24 4 69.77
true 0.00010916430388079641 219 8 7 0.26 1 1.7
true 0.0001072367504976349 1558 8 7 0.26 2 16.11
true 0.00010726742802474083 3204 8 7 0.26 3 49.53
true 1.1616968179124182e-5 2474 8 7 0.26 4 52.27
true 0.14289172598573371 376 8 7 0.28 1 2.69
true 0.00013911464673852354 2758 8 7 0.28 2 30.08
true 0.0001707799318616849 2775 8 7 0.28 3 44.09
true 0.00024468730941455485 5074 8 7 0.28 4 104.53
true 0.14290706772003953 179 8 7 0.3 1 1.44
true 0.00020305144917912417 1992 8 7 0.3 2 22.42
true 0.0002292448494033745 2286 8 7 0.3 3 34.61
true 0.00024372984223204014 3530 8 7 0.3 4 68.31
true 0.14310129273287586 212 8 7 0.32 1 1.69
true 0.07152480564670692 1438 8 7 0.32 2 15.08
true 0.00015810512149578532 4750 8 7 0.32 3 75.68
true 0.00035401899056196936 3235 8 7 0.32 4 66.38
true 0.14331145358619435 335 8 7 0.34 1 2.42
true 0.00047118468258822946 1437 8 7 0.34 2 16.76
true 0.0004694688868236509 2964 8 7 0.34 3 45.66
true 0.0002328942034442846 13777 8 7 0.34 4 256.7
true 0.0014942300363538735 398 8 7 0.36 1 2.7
true 0.0004986521101268722 1377 8 7 0.36 2 15.06
true 0.0012809214212795017 3187 8 7 0.36 3 47.42
true 0.001757244076745498 2375 8 7 0.36 4 48.98
true 0.007320066117782742 420 8 7 0.38 1 2.85
true 0.000971306043533658 1709 8 7 0.38 2 17.86
