changes = Time vs nsites vs nqubits0 vs h vs nlayers

g_converged iter nsites nqubits0 h nlayers time
true 155 3 2 0.3673469387755102 2 0.27
true 293 3 2 0.3673469387755102 3 0.71
true 246 3 2 0.3673469387755102 4 0.94
true 39 3 2 0.3877551020408163 1 0.06
true 125 3 2 0.3877551020408163 2 0.23
true 295 3 2 0.3877551020408163 3 0.69
true 315 3 2 0.3877551020408163 4 0.99
true 41 3 2 0.40816326530612246 1 0.06
true 113 3 2 0.40816326530612246 2 0.21
true 352 3 2 0.40816326530612246 3 0.8
true 199 3 2 0.40816326530612246 4 0.69
true 49 3 2 0.42857142857142855 1 0.07
true 163 3 2 0.42857142857142855 2 0.29
true 179 3 2 0.42857142857142855 3 0.49
true 285 3 2 0.42857142857142855 4 0.93
true 34 3 2 0.4489795918367347 1 0.07
true 218 3 2 0.4489795918367347 2 0.37
true 232 3 2 0.4489795918367347 3 0.57
true 238 3 2 0.4489795918367347 4 0.82
true 39 3 2 0.46938775510204084 1 0.05
true 215 3 2 0.46938775510204084 2 0.36
true 350 3 2 0.46938775510204084 3 0.8
true 285 3 2 0.46938775510204084 4 0.95
true 51 3 2 0.4897959183673469 1 0.07
true 164 3 2 0.4897959183673469 2 0.28
true 204 3 2 0.4897959183673469 3 0.52
true 300 3 2 0.4897959183673469 4 1.01
true 53 3 2 0.5102040816326531 1 0.07
true 243 3 2 0.5102040816326531 2 0.39
true 363 3 2 0.5102040816326531 3 0.88
true 240 3 2 0.5102040816326531 4 0.88
true 34 3 2 0.5306122448979592 1 0.05
true 321 3 2 0.5306122448979592 2 0.55
true 289 3 2 0.5306122448979592 3 0.7
true 295 3 2 0.5306122448979592 4 1.0
true 43 3 2 0.5510204081632653 1 0.06
true 212 3 2 0.5510204081632653 2 0.37
true 225 3 2 0.5510204081632653 3 0.56
true 251 3 2 0.5510204081632653 4 0.89
true 42 3 2 0.5714285714285714 1 0.06
true 154 3 2 0.5714285714285714 2 0.28
true 179 3 2 0.5714285714285714 3 0.52
true 271 3 2 0.5714285714285714 4 0.91
true 51 3 2 0.5918367346938775 1 0.07
true 150 3 2 0.5918367346938775 2 0.27
true 334 3 2 0.5918367346938775 3 0.83
true 282 3 2 0.5918367346938775 4 0.99
true 45 3 2 0.6122448979591837 1 0.05
true 165 3 2 0.6122448979591837 2 0.28
true 206 3 2 0.6122448979591837 3 0.53
true 318 3 2 0.6122448979591837 4 1.04
true 28 3 2 0.6326530612244898 1 0.03
true 157 3 2 0.6326530612244898 2 0.26
true 198 3 2 0.6326530612244898 3 0.49
true 306 3 2 0.6326530612244898 4 0.95
true 41 3 2 0.6530612244897959 1 0.05
true 144 3 2 0.6530612244897959 2 0.25
true 242 3 2 0.6530612244897959 3 0.55
true 281 3 2 0.6530612244897959 4 0.93
true 38 3 2 0.673469387755102 1 0.04
true 324 3 2 0.673469387755102 2 0.5
true 232 3 2 0.673469387755102 3 0.53
true 252 3 2 0.673469387755102 4 0.78
true 45 3 2 0.6938775510204082 1 0.05
true 125 3 2 0.6938775510204082 2 0.21
true 388 3 2 0.6938775510204082 3 0.87
true 284 3 2 0.6938775510204082 4 0.91
true 39 3 2 0.7142857142857143 1 0.05
true 153 3 2 0.7142857142857143 2 0.26
true 209 3 2 0.7142857142857143 3 0.49
true 276 3 2 0.7142857142857143 4 0.85
true 42 3 2 0.7346938775510204 1 0.05
true 151 3 2 0.7346938775510204 2 0.25
true 246 3 2 0.7346938775510204 3 0.55
true 322 3 2 0.7346938775510204 4 0.98
true 36 3 2 0.7551020408163265 1 0.04
true 137 3 2 0.7551020408163265 2 0.22
true 208 3 2 0.7551020408163265 3 0.48
true 257 3 2 0.7551020408163265 4 0.82
true 34 3 2 0.7755102040816326 1 0.04
true 150 3 2 0.7755102040816326 2 0.25
true 210 3 2 0.7755102040816326 3 0.49
true 281 3 2 0.7755102040816326 4 0.93
true 30 3 2 0.7959183673469388 1 0.03
true 194 3 2 0.7959183673469388 2 0.3
true 294 3 2 0.7959183673469388 3 0.62
true 254 3 2 0.7959183673469388 4 0.86
true 42 3 2 0.8163265306122449 1 0.04
true 151 3 2 0.8163265306122449 2 0.24
true 313 3 2 0.8163265306122449 3 0.69
true 416 3 2 0.8163265306122449 4 1.2
true 41 3 2 0.8367346938775511 1 0.04
true 186 3 2 0.8367346938775511 2 0.3
true 381 3 2 0.8367346938775511 3 0.81
true 251 3 2 0.8367346938775511 4 0.88
true 52 3 2 0.8571428571428571 1 0.05
true 185 3 2 0.8571428571428571 2 0.31
true 337 3 2 0.8571428571428571 3 0.76
true 312 3 2 0.8571428571428571 4 1.22
true 43 3 2 0.8775510204081632 1 0.05
true 318 3 2 0.8775510204081632 2 0.53
true 326 3 2 0.8775510204081632 3 0.76
true 287 3 2 0.8775510204081632 4 0.98
true 34 3 2 0.8979591836734694 1 0.04
true 137 3 2 0.8979591836734694 2 0.23
true 220 3 2 0.8979591836734694 3 0.55
