g_converged	min_loss	iter	nsites	nqubits0	h	nlayers	time
TRUE	1,03E-11	3324	8	6	0,02	4	68,2
TRUE	6,09E-09	2752	8	6	0,04	4	58,18
TRUE	4,44E-09	3718	8	6	0,06	4	73,52
TRUE	3,58E-11	3330	8	6	0,08	4	68,41
TRUE	4,06E-11	3020	8	6	0,1	4	62,88
TRUE	1,06E-11	1898	8	6	0,12	4	42,93
TRUE	3,08E-10	3534	8	6	0,14	4	73,62
TRUE	3,47E-11	1351	8	6	0,16	4	32,56
TRUE	3,68E-10	3462	8	6	0,18	4	74,15
TRUE	4,17E-11	1416	8	6	0,2	4	34,55
TRUE	9,13E-10	1406	8	6	0,22	4	38,78
TRUE	8,53E-09	6311	8	6	0,24	4	129,65
TRUE	0,000157055	6406	8	6	0,26	4	135,66
TRUE	0,000275267	3975	8	6	0,28	4	87,68
TRUE	0,000237356	2620	8	6	0,3	4	61,57
TRUE	0,000366272	2853	8	6	0,32	4	65,51
TRUE	0,000195606	2032	8	6	0,34	4	54,05
TRUE	0,00157308	4804	8	6	0,36	4	113,34
TRUE	0,005746588	7574	8	6	0,38	4	171,05
TRUE	0,018909144	5772	8	6	0,4	4	127,13
TRUE	0,002437184	5757	8	6	0,42	4	130,02
TRUE	0,008329445	8197	8	6	0,44	4	177,6
TRUE	0,011077771	14163	8	6	0,46	4	325,25
TRUE	0,000344035	20241	8	6	0,48	4	441,32
TRUE	0,011681704	9108	8	6	0,5	4	213,89
TRUE	0,002141105	20812	8	6	0,52	4	438,93
TRUE	0,041004137	5168	8	6	0,54	4	122,68
TRUE	0,1839787	23527	8	6	0,56	4	530,06
TRUE	0,012549522	30464	8	6	0,58	4	663,35
TRUE	0,013287912	7206	8	6	0,6	4	148,95
TRUE	6,51E-08	427	8	7	0	1	1,66
TRUE	0,285714721	308	8	7	0	1	11,44
TRUE	2,56E-09	267	8	7	0,02	1	1,57
TRUE	0,142858539	239	8	7	0,04	1	1,45
TRUE	7,80E-08	369	8	7	0,06	1	2,06
TRUE	1,77E-10	833	8	7	0,08	1	4,5
TRUE	0,142888417	186	8	7	0,1	1	1,21
TRUE	0,14286154	294	8	7	0,12	1	1,68
TRUE	0,285722021	164	8	7	0,14	1	1,15
TRUE	0,1428669	248	8	7	0,16	1	1,65
TRUE	2,32E-09	349	8	7	0,18	1	2,15
TRUE	3,54E-10	387	8	7	0,2	1	2,29
