g_converged min_loss iter nsites nqubits0 h nlayers SvN m time
true 3.12416368364668e-5 6148 15 8 0.24 2 0.00016764921839117265 0.9899333333333336 140.4186445
true 0.06262469803319641 2389 15 8 0.24 3 0.00016764921839117265 0.9899333333333336 91.1955677
true 0.00015401158700759782 4220 15 8 0.24 4 0.00016764921839117265 0.9899333333333336 203.7539408
true 0.1333504812249051 1761 15 15 0.24 1 0.00016764921839117265 0.9899333333333336 23.1647971
true 0.03309136342718795 9047 15 15 0.24 2 0.00016764921839117265 0.9899333333333336 197.8812562
true 0.06692527265849622 50282 15 15 0.24 3 0.00016764921839117265 0.9899333333333336 1651.7901972
true 0.06675988551629924 26552 15 15 0.24 4 0.00016764921839117265 0.9899333333333336 1104.9364826
true 3.0965870153720765e-5 360 15 1 0.26 1 0.0002270329396116816 0.9875333333333332 5.5148637
true 5.115226894181202e-5 1610 15 1 0.26 2 0.0002270329396116816 0.9875333333333332 39.6703931
true 2.550231337772324e-5 2169 15 1 0.26 3 0.0002270329396116816 0.9875333333333332 95.6367698
true 4.9378883888617775e-5 3206 15 1 0.26 4 0.0002270329396116816 0.9875333333333332 192.5966616
true 0.2500157970071328 496 15 8 0.26 1 0.0002270329396116816 0.9875333333333332 8.0482284
true 0.06255568047798252 5651 15 8 0.26 2 0.0002270329396116816 0.9875333333333332 125.2331923
true 0.06256545190703175 3301 15 8 0.26 3 0.0002270329396116816 0.9875333333333332 115.8063057
true 0.00019406007672521236 13473 15 8 0.26 4 0.0002270329396116816 0.9875333333333332 628.1155179
true 0.20002085143706216 2825 15 15 0.26 1 0.0002270329396116816 0.9875333333333332 38.4910233
true 0.16637583577790505 10941 15 15 0.26 2 0.0002270329396116816 0.9875333333333332 251.8713926
true 0.00018011851632744694 13115 15 15 0.26 3 0.0002270329396116816 0.9875333333333332 425.6316992
true 0.06714515787675295 11395 15 15 0.26 4 0.0002270329396116816 0.9875333333333332 540.5834498
true 4.423607939701979e-5 495 15 1 0.28 1 0.00030088344296167526 0.9857333333333335 7.2757289
true 9.974491066122582e-5 1073 15 1 0.28 2 0.00030088344296167526 0.9857333333333335 33.052333
true 0.00014432616908843787 2771 15 1 0.28 3 0.00030088344296167526 0.9857333333333335 99.707557
true 0.00011189821137758127 6077 15 1 0.28 4 0.00030088344296167526 0.9857333333333335 336.4027501
true 0.12503306766189642 972 15 8 0.28 1 0.00030088344296167526 0.9857333333333335 13.1901145
true 5.4668527149824564e-5 3633 15 8 0.28 2 0.00030088344296167526 0.9857333333333335 85.0025445
true 2.9809836713939886e-5 17671 15 8 0.28 3 0.00030088344296167526 0.9857333333333335 599.9081715
true 0.00019169450975071306 8326 15 8 0.28 4 0.00030088344296167526 0.9857333333333335 384.8331673
true 0.20006008103259962 885 15 15 0.28 1 0.00030088344296167526 0.9857333333333335 12.6654493
true 8.80014943933823e-5 12398 15 15 0.28 2 0.00030088344296167526 0.9857333333333335 275.8488508
true 0.00022522553412589834 13021 15 15 0.28 3 0.00030088344296167526 0.9857333333333335 410.3860686
true 0.0001072794239032134 9194 15 15 0.28 4 0.00030088344296167526 0.9857333333333335 421.7997341
true 6.212233067925954e-5 556 15 1 0.3 1 0.00039146143886601163 0.9831999999999999 7.91953
true 7.257017939915622e-5 1879 15 1 0.3 2 0.00039146143886601163 0.9831999999999999 45.8123445
true 0.00015515780278935187 1960 15 1 0.3 3 0.00039146143886601163 0.9831999999999999 82.9264321
true 0.00013720593917798674 3553 15 1 0.3 4 0.00039146143886601163 0.9831999999999999 218.6385091
true 0.12504706842059665 1802 15 8 0.3 1 0.00039146143886601163 0.9831999999999999 24.5241755
true 9.517940493384419e-5 1697 15 8 0.3 2 0.00039146143886601163 0.9831999999999999 42.1454699
true 0.00011883473314604209 4177 15 8 0.3 3 0.00039146143886601163 0.9831999999999999 145.4893941
true 0.06265145601552227 5617 15 8 0.3 4 0.00039146143886601163 0.9831999999999999 284.6308553
true 0.13344033191193647 2284 15 15 0.3 1 0.00039146143886601163 0.9831999999999999 31.8362708
true 0.10022158821052525 4473 15 15 0.3 2 0.00039146143886601163 0.9831999999999999 106.5923349
true 0.00014652508285639316 26250 15 15 0.3 3 0.00039146143886601163 0.9831999999999999 838.5522159
true 0.00024746328581735086 68072 15 15 0.3 4 0.00039146143886601163 0.9831999999999999 2911.8850705
true 8.566748732186102e-5 354 15 1 0.32 1 0.0005012552181454566 0.9811333333333334 5.7898745
true 0.00019971748694463942 4003 15 1 0.32 2 0.0005012552181454566 0.9811333333333334 92.5396887
true 0.00022326249266457765 1745 15 1 0.32 3 0.0005012552181454566 0.9811333333333334 77.1038919
true 0.0001345383815073986 3892 15 1 0.32 4 0.0005012552181454566 0.9811333333333334 210.5594757
true 0.1250638705001454 750 15 8 0.32 1 0.0005012552181454566 0.9811333333333334 10.7238492
true 0.00010971388203089016 11663 15 8 0.32 2 0.0005012552181454566 0.9811333333333334 272.9768841
true 5.45454173906737e-5 3446 15 8 0.32 3 0.0005012552181454566 0.9811333333333334 144.8457072
true 0.00014128393028540326 15387 15 8 0.32 4 0.0005012552181454566 0.9811333333333334 709.2456592
true 0.13347642122824815 1534 15 15 0.32 1 0.0005012552181454566 0.9811333333333334 21.5245624
true 0.03340105734875332 5776 15 15 0.32 2 0.0005012552181454566 0.9811333333333334 134.1907847
true 0.10028658739736059 11820 15 15 0.32 3 0.0005012552181454566 0.9811333333333334 389.4227579
